# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ahl2_crash
# Exported by: V92
setting:	replacespawns 0
weapon_ttt_smokegrenade	4089.262207 -1164.667480 514.413086	-2.865 -1.204 -1.567
weapon_ttt_smokegrenade	4107.452148 -1155.872314 514.434204	-2.088 -1.401 -1.142
weapon_ttt_smokegrenade	4095.220703 -1143.158203 514.416504	-2.739 -1.229 -1.498
weapon_ttt_smokegrenade	2472.332764 28.307676 218.921310	18.154 69.866 -99.026
ttt_random_weapon	3793.625732 846.338440 75.743324	1.757 3.234 -99.321
ttt_random_weapon	3761.387695 825.288208 76.997528	1.765 3.235 -99.286
ttt_random_weapon	3863.225830 803.091248 74.944504	4.460 2.867 -99.235
ttt_random_weapon	4181.528809 544.178284 63.645981	5.079 -4.767 82.523
ttt_random_weapon	4149.244629 654.106995 63.752563	7.863 -5.335 83.546
ttt_random_weapon	4212.337891 601.418823 57.731071	5.371 -5.818 82.480
ttt_random_weapon	3034.570068 -299.877899 207.196152	-1.668 -3.831 80.905
ttt_random_weapon	3062.638428 -221.278107 199.095108	-1.679 -3.835 80.958
ttt_random_weapon	3072.434326 -274.421173 203.716888	-1.375 -4.609 81.893
ttt_random_weapon	3437.128906 5.447720 219.246902	-2.218 1.250 72.838
ttt_random_weapon	3450.610107 -38.532021 230.808609	-2.282 0.556 72.257
ttt_random_weapon	4977.942383 -1962.136353 76.290245	-0.238 2.768 -99.276
ttt_random_weapon	4579.151367 -2185.000977 80.236343	5.076 2.813 -98.469
ttt_random_weapon	4003.854004 -2082.670654 75.257271	1.026 2.874 -98.429
ttt_random_weapon	4000.534668 -2036.192871 74.568909	1.012 2.876 -98.455
ttt_random_weapon	3840.625732 -2302.244141 76.293907	-0.083 2.761 -98.894
ttt_random_weapon	3311.260254 -2185.840820 76.290245	-0.238 2.768 -99.276
ttt_random_weapon	2312.022705 -103.422394 203.090988	2.762 2.924 -98.783
item_ammo_smg1_ttt	1208.066406 -2163.188477 119.912704	-2.612 0.018 0.098
item_ammo_smg1_ttt	1178.700195 -2131.858154 118.415504	-1.224 0.127 -5.772
item_ammo_smg1_ttt	4241.473145 -711.586609 64.063400	3.071 0.030 -0.253
weapon_ttt_m16	5087.625488 477.797882 73.068657	1.708 -6.436 84.465
weapon_ttt_m16	2078.506592 -388.935669 97.788300	-9.067 1.315 82.360
item_box_buckshot_ttt	4655.359375 1289.031006 75.430634	-0.636 -0.006 0.566
item_box_buckshot_ttt	4666.266113 1303.138916 75.405235	-0.835 -0.008 0.741
item_box_buckshot_ttt	2132.249756 -2172.074463 112.306946	-0.233 0.012 -0.025
item_box_buckshot_ttt	2109.297852 -2166.525146 112.309769	0.071 0.012 0.738
item_box_buckshot_ttt	2590.448975 -275.213684 135.874313	-13.106 -0.850 13.922
ttt_random_ammo	3762.042480 855.466736 75.948006	2.730 0.060 -0.069
ttt_random_ammo	3717.083496 820.172791 76.572014	-1.682 -0.135 -0.139
ttt_random_ammo	3933.800049 758.216919 73.507393	1.074 -0.632 -1.549
ttt_random_ammo	3893.743164 762.423950 74.214500	1.069 -0.625 -1.586
ttt_random_ammo	4122.271973 618.158997 66.160271	7.600 1.557 -0.896
ttt_random_ammo	4106.542480 700.323792 66.459793	7.248 1.553 -0.924
ttt_random_ammo	3026.219482 -255.196991 201.861099	1.432 -1.160 -6.610
ttt_random_ammo	3068.753174 -175.886108 193.280121	1.425 -1.139 -6.751
ttt_random_ammo	3078.867676 -118.419548 187.670059	1.453 -1.179 -6.238
ttt_random_ammo	3443.506348 -9.353589 223.886566	0.806 2.623 -104.531
ttt_random_ammo	3426.480469 -32.581287 230.347107	1.264 2.835 -104.589
ttt_random_ammo	3433.567627 -56.929810 236.736786	1.220 2.852 -104.534
ttt_random_ammo	3403.936035 -57.266422 236.675278	-2.813 -2.277 -104.371
ttt_random_ammo	4968.014160 -2019.033936 75.386749	0.300 0.002 0.310
ttt_random_ammo	5003.174316 -1987.323486 75.380898	0.179 -0.001 -0.159
ttt_random_ammo	5010.836914 -2021.041260 75.379349	0.159 -0.001 -0.135
ttt_random_ammo	4562.975098 -2219.860596 79.760620	1.883 0.811 0.078
ttt_random_ammo	4611.370605 -2212.305420 78.228447	1.928 0.810 0.102
ttt_random_ammo	4625.758301 -2173.473633 77.752029	1.975 0.807 0.126
ttt_random_ammo	4014.495117 -2116.680908 74.857246	-0.048 -0.049 -1.075
ttt_random_ammo	3998.732666 -2133.625244 75.089905	-0.056 -0.047 -1.111
ttt_random_ammo	3881.693848 -2303.883301 75.357460	0.057 0.000 0.000
ttt_random_ammo	3880.258301 -2318.687256 75.417320	1.507 0.035 1.809
ttt_random_ammo	3848.511963 -2331.420898 75.367279	0.079 0.000 0.032
ttt_random_ammo	3321.119385 -2236.074707 75.395042	1.022 0.013 1.191
ttt_random_ammo	3292.700684 -2236.889160 75.330284	0.045 0.000 -0.029
ttt_random_ammo	3275.708984 -2219.302002 75.395401	1.166 0.017 1.367
ttt_random_ammo	2330.368408 -125.901932 201.248749	3.548 0.484 0.175
ttt_random_ammo	2313.555420 -127.356888 202.098358	3.685 0.472 0.210
ttt_random_ammo	2299.749756 -121.369690 202.829330	3.594 0.482 0.187
weapon_zm_rifle	3744.405273 -1043.193726 484.302124	3.580 13.235 65.072
weapon_zm_rifle	837.033264 1073.047485 337.365601	10.847 7.890 66.364
weapon_zm_mac10	1206.620361 -2147.413330 120.641182	-1.399 -41.710 -86.736
